[2026-05-05 14:06:03,070] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for ITC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,115] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for CANBK: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:03,151] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for ELECTCAST: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,196] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for IONEXCHANG: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:03,239] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for PIIND: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:03,281] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for NATIONALUM: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,321] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for LTFOODS: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,372] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for DEEPAKFERT: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:03,411] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for HDFCBANK: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,460] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for SKFINDIA: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,506] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for ICIL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:03,554] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for FEDERALBNK: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,594] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for NTPC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,646] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for JAYNECOIND: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,694] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for HCLTECH: {'SELL': [], 'BUY': ['RULE_SET_7'], 'HOLD': ['RULE_SET_2']}
[2026-05-05 14:06:03,735] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for LUPIN: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,768] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for HEG: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,834] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for BAJAJ-AUTO: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,890] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for INFY: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,942] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for TITAGARH: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:03,992] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for EXIDEIND: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:04,027] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for CESC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:04,062] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for SANDUMA: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:04,102] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for HDFCBANK: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
